feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.029745495618462677,0.9991152054904119,0.6604713298809521,
sum_logp,0,0.20482274843546996,0.9580476417233402,0.6467549168873884,
mean_logp,0,0.25839703660495594,0.9332309714737771,0.6383233888206458,
var_logp,1,-0.258257315621263,0.9333031589280993,0.638348076197533,-5.947119875607914
max_logp,0,0.1845836281708362,0.9659707041714093,0.6494237448746575,
min_logp,0,0.13510934787686055,0.9817454641162894,0.6547049699119533,
surprisal_sum,0,-0.20482274843546996,0.9580476417233402,0.6467549168873884,
surprisal_mean,0,-0.25839703660495594,0.9332309714737771,0.6383233888206458,
length_inv,0,-0.03816044246667061,0.9985437806307517,0.6602824308864106,
length_log,1,0.03527637921546215,0.9987555770694467,0.6603524518786805,3.0092308575778244
rb_entropy_sum,1,-0.12761566611923011,0.983714241760945,0.6553611088926319,0.058412922655931454
rb_entropy_mean,0,-0.17879464486240557,0.9680324749685262,0.6501164414524125,
sum_w,1,-0.11605155068687292,0.986532037583172,0.6562990607809267,0.0015971785857151737
sum_w2,1,-0.15961107778062833,0.9745243038497062,0.652292707553867,-3.58015585940179e-05
sum_w_abs,0,-0.11605155068687292,0.986532037583172,0.6562990607809267,
wjlogp_sum,0,0.9994035708730004,0.0011925025262955657,0.022817908793959868,
jH_sum,0,-0.21667016190803404,0.9530540409387462,0.6450671849026496,
sum_abs_jlogp,0,-0.022784923161084342,0.9994808472765435,0.6605921737159086,
mean_abs_jlogp,0,-0.04999287144502925,0.9975007128046808,0.6599374789051841,
token_share,0,0.029745495618462698,0.9991152054937481,0.6604713298820549,
length_x_surprisal_mean,0,-0.20482274843546994,0.9580476417233402,0.6467549168873884,
length_x_rb_entropy_mean,0,-0.1276156661192301,0.983714241760945,0.6553611088926319,
