feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.03450855246784608,0.998809159806574,0.7177992664451919,
sum_logp,0,0.08969844700908211,0.991954188604159,0.7153318456862706,
mean_logp,0,0.12339675539740512,0.9847732407573931,0.712737930040141,
var_logp,1,-0.1545144759959802,0.9761252767076881,0.7096015106765333,-5.934336229740057
max_logp,0,0.13051205713151065,0.9829669367897134,0.7120839661642465,
min_logp,0,0.08729397413604618,0.9923797620795355,0.7154852769729526,
surprisal_sum,0,-0.08969844700908211,0.991954188604159,0.7153318456862706,
surprisal_mean,0,-0.12339675539740512,0.9847732407573931,0.712737930040141,
length_inv,0,-0.04119287429048696,0.9983031471076907,0.7176174191148678,
length_log,1,0.040051229178175,0.9983958990413174,0.7176507551097842,-2.7698565054981112
rb_entropy_sum,1,-0.03338931506495855,0.9988851536394933,0.7178265726024583,0.23828525033774445
rb_entropy_mean,0,-0.055291273224570815,0.996942875105206,0.717128345411871,
sum_w,1,-0.0493337238468189,0.9975661836914061,0.7173524918604667,0.0017469388113739227
sum_w2,1,-0.09463040018760283,0.9910450873603343,0.7150039786615354,-5.145273115192392e-05
sum_w_abs,0,-0.0493337238468189,0.9975661836914061,0.7173524918604667,
wjlogp_sum,0,0.9995553925267279,0.0008890172707388994,0.02141493945682498,
jH_sum,0,-0.2484144396622597,0.9382902661672858,0.6957133825561251,
sum_abs_jlogp,0,0.05749771244177157,0.9966940130639635,0.7170388331804672,
mean_abs_jlogp,0,0.021471385798428236,0.9995389795918954,0.7180614629022372,
token_share,0,0.0345085524678461,0.9988091598102062,0.717799266446497,
length_x_surprisal_mean,0,-0.08969844700908212,0.991954188604159,0.7153318456862706,
length_x_rb_entropy_mean,0,-0.03338931506495855,0.9988851536394933,0.7178265726024583,
