feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,-0.020826970658802537,0.9995662372931774,0.698119764826315,
sum_logp,0,0.14909328282004558,0.9777711930179418,0.690466740314063,
mean_logp,0,0.1708833666322149,0.97079887500844,0.6880005362141779,
var_logp,1,-0.18343545856369195,0.966351432541528,0.6864227864948825,-4.885915713274926
max_logp,0,0.06517133959513811,0.9957540745932224,0.6967872426030517,
min_logp,0,0.09947175705882212,0.9901053695476306,0.6948080674472364,
surprisal_sum,0,-0.14909328282004558,0.9777711930179418,0.690466740314063,
surprisal_mean,0,-0.1708833666322149,0.97079887500844,0.6880005362141779,
length_inv,0,0.004547460246500489,0.9999793206053066,0.6982640033098597,
length_log,1,-0.012436758941219081,0.999845327027038,0.6982172193289647,2.5959342734462907
rb_entropy_sum,1,-0.07896945899954129,0.9937638245453198,0.6960905472421514,0.12186711294081275
rb_entropy_mean,0,-0.08863092321205002,0.9921445594505797,0.6955232018494936,
sum_w,1,-0.07154628610547635,0.9948811289445132,0.696481750124823,-0.0026472005475931563
sum_w2,1,-0.06928466046461071,0.9951996358243036,0.6965932290094026,1.212531109406343e-05
sum_w_abs,0,-0.07154628610547635,0.9948811289445132,0.696481750124823,
wjlogp_sum,0,0.9996747397196112,0.0006504147665275749,0.017808171966421198,
jH_sum,0,-0.13915870736876007,0.9806348541634557,0.6914771081653207,
sum_abs_jlogp,0,-0.08672630218296531,0.9924785485096689,0.6956402601909872,
mean_abs_jlogp,0,-0.05854652258651085,0.9965723046930273,0.6970734654946044,
token_share,0,-0.020826970658802544,0.9995662372944673,0.6981197648267655,
length_x_surprisal_mean,0,-0.14909328282004555,0.9777711930179418,0.690466740314063,
length_x_rb_entropy_mean,0,-0.07896945899954129,0.9937638245453198,0.6960905472421514,
