feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.04289160094298865,0.9981603105685473,0.4266282270258686,
sum_logp,0,0.08558211037765237,0.9926757023833073,0.4254545118627253,
mean_logp,0,0.14698318522396772,0.9783959432614167,0.42238331987912053,
var_logp,1,-0.19394284379874346,0.9623861733392561,0.4189132770596394,-3.680847288664103
max_logp,0,0.025917934509527764,0.9993287568941724,0.42687785946496787,
min_logp,0,0.10960172294565163,0.9879874623273445,0.42444864784477626,
surprisal_sum,0,-0.08558211037765237,0.9926757023833073,0.4254545118627253,
surprisal_mean,0,-0.14698318522396772,0.9783959432614167,0.42238331987912053,
length_inv,0,-0.02901119557573273,0.9991583505312681,0.42684146213114016,
length_log,1,0.03486023850235466,0.998784763771559,0.4267616563489797,-2.302662011647234
rb_entropy_sum,1,-0.027515299322813495,0.999242908303176,0.42685952333204247,-0.0849271079320389
rb_entropy_mean,0,-0.07241372061955849,0.9947562530660323,0.4259001339052629,
sum_w,1,0.023759083115799186,0.9994355059694964,0.42690065856866655,0.001925741986072482
sum_w2,1,0.02598324844732497,0.9993248708001247,0.4268770294632742,-5.834666851035477e-07
sum_w_abs,0,0.023759083115799186,0.9994355059694964,0.42690065856866655,
wjlogp_sum,0,0.9991971789581799,0.0016049975620146164,0.01710750305549957,
jH_sum,0,-0.19685483062307702,0.9612481756603597,0.4186655265403473,
sum_abs_jlogp,0,-0.005179649468427761,0.9999731712313841,0.42701547277696866,
mean_abs_jlogp,0,-0.04812204418632941,0.997684268863329,0.4265264813207826,
token_share,0,0.04289160094298862,0.9981603105745228,0.4266282270271456,
length_x_surprisal_mean,0,-0.0855821103776524,0.9926757023833073,0.4254545118627253,
length_x_rb_entropy_mean,0,-0.027515299322813484,0.999242908303176,0.42685952333204247,
