feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.13674395263370034,0.9813010914181123,0.4366623912573593,
sum_logp,0,0.09499387178898329,0.9909761643225382,0.43880973326114914,
mean_logp,0,0.21702571970319434,0.9528998369873105,0.4302969563046889,
var_logp,1,-0.2480257272244824,0.9384832386347665,0.42702952960250334,-5.229801504013469
max_logp,0,0.06009436159571027,0.9963892741321304,0.4400065785744345,
min_logp,0,0.10424364892465628,0.9891332616588729,0.4384015196332988,
surprisal_sum,0,-0.09499387178898329,0.9909761643225382,0.43880973326114914,
surprisal_mean,0,-0.21702571970319434,0.9528998369873105,0.4302969563046889,
length_inv,0,-0.10842635988729304,0.9882437244816191,0.4382043459147514,
length_log,1,0.1243780842362027,0.9845300921617319,0.43738022659088205,0.7730545559526355
rb_entropy_sum,1,0.011031076298578274,0.9998783153556947,0.44077628752825937,0.029581982734147194
rb_entropy_mean,0,-0.10313485475941084,0.9893632017337551,0.4384524734452567,
sum_w,1,0.05383456626189466,0.9971018394753934,0.4401638852673135,0.0007140657667418269
sum_w2,1,0.03641595839738844,0.9986738779739995,0.4405107315098443,-2.6793530258473797e-06
sum_w_abs,0,0.05383456626189466,0.9971018394753934,0.4401638852673135,
wjlogp_sum,0,0.9990626864580824,0.0018737485271591871,0.019080963467565566,
jH_sum,0,-0.3768488599301628,0.8579849367693364,0.4083047942811233,
sum_abs_jlogp,0,0.029738260388344658,0.9991156358690749,0.440608149487124,
mean_abs_jlogp,0,-0.10557561409182739,0.9888537897091335,0.43833958177933713,
token_share,0,0.13674395263370037,0.981301091487445,0.4366623912727852,
length_x_surprisal_mean,0,-0.09499387178898328,0.9909761643225382,0.43880973326114914,
length_x_rb_entropy_mean,0,0.011031076298578274,0.9998783153556947,0.44077628752825937,
