feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.014683409703762538,0.9997843974794716,0.38165112328502465,
sum_logp,0,0.1946830245162393,0.9620985199652092,0.37438905224587443,
mean_logp,0,0.26093059859499657,0.9319152227168568,0.3684695215698053,
var_logp,1,-0.29299014685236974,0.9141567738474268,0.3649418828136811,-3.7828230806834457
max_logp,0,0.1449181928339014,0.9789998805960523,0.3776632158621338,
min_logp,0,0.16184409314504772,0.9738064895140571,0.3766601713875091,
surprisal_sum,0,-0.1946830245162393,0.9620985199652092,0.37438905224587443,
surprisal_mean,0,-0.26093059859499657,0.9319152227168568,0.3684695215698053,
length_inv,0,-0.013302261741627651,0.9998230498325575,0.38165850066130447,
length_log,1,0.014441295041922058,0.9997914489975124,0.3816524691827215,-1.8956881051334153
rb_entropy_sum,1,-0.11415268117269702,0.9869691653810844,0.37919723320879345,-0.09657124160535567
rb_entropy_mean,0,-0.17419184461213277,0.9696572012706225,0.3758568598454301,
sum_w,1,-0.04895467532686912,0.997603439763641,0.3812346237897133,0.0023217716638696106
sum_w2,1,-0.05929574482649404,0.9964840146454714,0.3810206693347769,-8.380459101199209e-06
sum_w_abs,0,-0.04895467532686912,0.997603439763641,0.3812346237897133,
wjlogp_sum,0,0.99888287642481,0.0022329991852979014,0.018036723588397634,
jH_sum,0,-0.22910657468893258,0.9475101774343045,0.3715397711423692,
sum_abs_jlogp,0,0.010021303200949678,0.9998995734821545,0.3816731059169855,
mean_abs_jlogp,0,-0.02358502279240821,0.9994437466998817,0.38158609885112577,
token_share,0,0.014683409703762546,0.9997843974801298,0.3816511232851503,
length_x_surprisal_mean,0,-0.1946830245162393,0.9620985199652092,0.37438905224587443,
length_x_rb_entropy_mean,0,-0.11415268117269703,0.9869691653810846,0.37919723320879345,
