run_name,metric,step,value
batch128,gns_noise_to_signal,16,0.210535928606987
batch128,gns_noise_to_signal,17,3.3823306560516357
batch128,gns_noise_to_signal,18,3.6006863117218018
batch128,gns_noise_to_signal,19,3.769094228744507
batch128,gns_noise_to_signal,20,3.5924108028411865
batch128,gns_noise_to_signal,21,3.6348209381103516
batch128,gns_noise_to_signal,22,3.9634482860565186
batch128,gns_noise_to_signal,23,4.1702423095703125
batch128,gns_noise_to_signal,24,4.6750359535217285
batch128,gns_noise_to_signal,25,5.337302207946777
batch128,gns_noise_to_signal,26,5.921825408935547
batch128,gns_noise_to_signal,27,6.552116870880127
batch128,gns_noise_to_signal,28,6.995563507080078
batch128,gns_noise_to_signal,29,7.35951042175293
batch128,gns_noise_to_signal,30,7.462142467498779
batch128,gns_noise_to_signal,31,8.103516578674316
batch128,gns_noise_to_signal,32,8.516819953918457
batch128,gns_noise_to_signal,33,8.801020622253418
batch128,gns_noise_to_signal,34,8.928143501281738
batch128,gns_noise_to_signal,35,9.456061363220215
batch128,gns_noise_to_signal,36,9.921870231628418
batch128,gns_noise_to_signal,37,9.816692352294922
batch128,gns_noise_to_signal,38,9.523900985717773
batch128,gns_noise_to_signal,39,9.596467018127441
batch128,gns_noise_to_signal,40,9.642983436584473
batch128,gns_noise_to_signal,41,9.367079734802246
batch128,gns_noise_to_signal,42,9.617497444152832
batch128,gns_noise_to_signal,43,9.510980606079102
batch128,gns_noise_to_signal,44,9.282804489135742
batch128,gns_noise_to_signal,45,9.191405296325684
batch128,gns_noise_to_signal,46,8.614577293395996
batch128,gns_noise_to_signal,47,8.446610450744629
batch128,gns_noise_to_signal,48,8.61103343963623
batch128,gns_noise_to_signal,49,8.225016593933105
batch128,gns_noise_to_signal,50,8.54747200012207
batch128,gns_noise_to_signal,51,8.756216049194336
batch128,gns_noise_to_signal,52,8.945717811584473
batch128,gns_noise_to_signal,53,8.830126762390137
batch128,gns_noise_to_signal,54,8.9208984375
batch128,gns_noise_to_signal,55,9.571562767028809
batch128,gns_noise_to_signal,56,9.43415641784668
batch128,gns_noise_to_signal,57,9.557365417480469
batch128,gns_noise_to_signal,58,9.921409606933594
batch128,gns_noise_to_signal,59,10.391054153442383
batch128,gns_noise_to_signal,60,10.336669921875
batch128,gns_noise_to_signal,61,10.606178283691406
batch128,gns_noise_to_signal,62,10.477325439453125
batch128,gns_noise_to_signal,63,10.25985336303711
batch128,gns_noise_to_signal,64,10.36587905883789
batch128,gns_mu,16,0.210535928606987
batch128,gns_mu,17,3.3823306560516357
batch128,gns_mu,18,3.6006863117218018
batch128,gns_mu,19,3.769094228744507
batch128,gns_mu,20,3.5924108028411865
batch128,gns_mu,21,3.6348209381103516
batch128,gns_mu,22,3.9634482860565186
batch128,gns_mu,23,4.1702423095703125
batch128,gns_mu,24,4.6750359535217285
batch128,gns_mu,25,5.337302207946777
