feature,selected_in_joint,corr,var_ratio_single,se_after_single,beta_joint
length,0,0.04131870846410046,0.9982927643308588,0.4395234644979433,
sum_logp,0,0.2041992438969036,0.9583026687919327,0.4306301692439757,
mean_logp,0,0.26397558942438937,0.9303168881880463,0.4242956273780111,
var_logp,1,-0.24291619681921658,0.9409917213228876,0.42672295422642953,-4.185252868772343
max_logp,0,0.1218712104196157,0.9851559878029285,0.43662198966746024,
min_logp,0,0.11209016347060236,0.9874357952531336,0.43712690404452387,
surprisal_sum,0,-0.2041992438969036,0.9583026687919327,0.4306301692439757,
surprisal_mean,0,-0.26397558942438937,0.9303168881880463,0.4242956273780111,
length_inv,0,-0.049688609592044575,0.997531042076815,0.4393557488214313,
length_log,1,0.047300880045058454,0.9977626267469629,0.43940674580656736,0.23206582800291572
rb_entropy_sum,1,-0.10446423044184722,0.9890872245581926,0.4374922860812979,0.07137415374704839
rb_entropy_mean,0,-0.15586049285142797,0.97570750676811,0.43452315764686367,
sum_w,1,-0.09815961158668561,0.990364690653151,0.4377747188170022,0.0011793135059505677
sum_w2,1,-0.15087453008408674,0.9772368761719059,0.4348635702252091,-2.3884655444609307e-05
sum_w_abs,0,-0.09815961158668561,0.990364690653151,0.4377747188170022,
wjlogp_sum,0,0.9988809182868508,0.0022369110824173753,0.02080546680168018,
jH_sum,0,-0.173533174091748,0.9698862374896431,0.43322499173640056,
sum_abs_jlogp,0,-0.06585809757905899,0.9956627109832672,0.4389441091371272,
mean_abs_jlogp,0,-0.10090590626582883,0.9898179980806716,0.4376538738259878,
token_share,0,0.04131870846410047,0.9982927643366841,0.4395234644992257,
length_x_surprisal_mean,0,-0.2041992438969036,0.9583026687919327,0.4306301692439757,
length_x_rb_entropy_mean,0,-0.1044642304418472,0.9890872245581926,0.4374922860812979,
