gdotv_i,length,sum_logp,mean_logp,var_logp,max_logp,min_logp,rb_entropy_sum,rb_entropy_mean,sum_w,sum_w2,sum_w_abs,wjlogp_sum,jH_sum,sum_abs_jlogp,mean_abs_jlogp,surprisal_sum,surprisal_mean,token_share,length_inv,length_log,length_x_surprisal_mean,length_x_rb_entropy_mean
-5.283815491669075,70,-27.62945556640625,-0.39470650809151786,0.6808196902275085,-3.933898824470816e-06,-4.862707614898682,35.68327331542969,0.5097610473632812,1029.3818359375,24287.357421875,1029.3818359375,-239042.890625,-35266.390625,37053.25390625,529.3321986607143,27.62945556640625,0.39470650809151786,0.0013483578927092363,0.014285714285714285,4.248495242049359,27.62945556640625,35.68327331542969
6.466951311639218,90,-50.13750457763672,-0.5570833841959636,1.4249566793441772,-2.7418097943154862e-06,-6.051076889038086,48.51593780517578,0.5390659756130642,1694.781005859375,52861.671875,1694.781005859375,391893.34375,-56161.56640625,65362.0546875,726.2450520833333,50.13750457763672,0.5570833841959636,0.0017336030049118752,0.011111111111111112,4.499809670330265,50.137504577636726,48.51593780517578
-8.678917461234711,150,-117.08686828613281,-0.7805791219075521,1.800327181816101,-8.583032467868179e-06,-7.298858642578125,115.6005859375,0.7706705729166666,7734.82861328125,562360.5,7734.82861328125,-364316.84375,-86249.15625,73565.1484375,490.43432291666664,117.08686828613281,0.7805791219075521,0.002889338341519792,0.006666666666666667,5.0106352940962555,117.08686828613281,115.6005859375
-3.9032452762327847,90,-17.948017120361328,-0.1994224124484592,0.24855706095695496,-4.0531076592742465e-06,-2.411433696746826,28.930601119995117,0.3214511235555013,903.1895141601562,15034.6953125,903.1895141601562,-175365.59375,-27271.384765625,60936.39453125,677.0710503472222,17.948017120361328,0.1994224124484592,0.0017336030049118752,0.011111111111111112,4.499809670330265,17.948017120361328,28.930601119995117
-1.2202106207261871,56,-17.95960235595703,-0.32070718492780415,0.41107866168022156,-2.861018856492592e-06,-3.3705074787139893,21.93191909790039,0.391641412462507,419.86993408203125,5261.0107421875,419.86993408203125,-28619.90234375,-34727.33203125,53850.7421875,961.6203962053571,17.95960235595703,0.32070718492780415,0.001078686314167389,0.017857142857142856,4.02535169073515,17.95960235595703,21.93191909790039
-1.5063745274727922,48,-32.59699249267578,-0.6791040102640787,2.0629172325134277,-3.576272320060525e-06,-6.663660526275635,26.585628509521484,0.5538672606150309,414.1054382324219,7006.869140625,414.1054382324219,-38423.66796875,-39779.765625,25940.22265625,540.4213053385416,32.59699249267578,0.6791040102640787,0.0009245882692863334,0.020833333333333332,3.871201010907891,32.59699249267578,26.585628509521484
-9.308460343831262,150,-89.37240600585938,-0.5958160400390625,1.3764619827270508,-4.3748852476710454e-05,-7.717779159545898,91.00614929199219,0.6067076619466146,6034.931640625,340418.625,6034.931640625,-415527.71875,-67721.0,76206.6484375,508.04432291666666,89.37240600585938,0.5958160400390625,0.002889338341519792,0.006666666666666667,5.0106352940962555,89.37240600585938,91.00614929199219
1.153141628744101,92,-67.03119659423828,-0.7285999629808508,2.1155385971069336,-4.0531076592742465e-06,-7.021726608276367,53.222042083740234,0.5785004574319591,1941.5919189453125,64961.1171875,1941.5919189453125,96418.8125,-36553.46484375,63231.8046875,687.3022248641304,67.03119659423828,0.7285999629808508,0.001772127516132139,0.010869565217391304,4.5217885770490405,67.03119659423828,53.222042083740234
-14.576230376577097,150,-183.37277221679688,-1.2224851481119792,2.346099376678467,-8.487341256113723e-05,-7.397502422332764,201.76666259765625,1.345111083984375,14978.076171875,2049988.75,14978.076171875,-666279.0,-90446.0,87156.09375,581.040625,183.37277221679688,1.2224851481119792,0.002889338341519792,0.006666666666666667,5.0106352940962555,183.37277221679688,201.76666259765625
-5.33670388947077,49,-23.53798484802246,-0.4803670377147441,1.183758020401001,-2.145764938177308e-06,-5.566093444824219,23.744728088378906,0.48458628751793686,322.28594970703125,3885.462158203125,322.28594970703125,-263682.5625,-13372.419921875,42344.671875,864.1769770408164,23.53798484802246,0.4803670377147441,0.0009438505248964654,0.02040816326530612,3.8918202981106265,23.53798484802246,23.744728088378906
8.343015024559376,109,-59.797119140625,-0.5485974233084863,0.8805510997772217,-4.410734163684538e-06,-4.383780479431152,68.88822174072266,0.6320020343185565,2772.73486328125,114715.5859375,2772.73486328125,497609.9375,-64482.3125,43777.3203125,401.62679185779814,59.797119140625,0.5485974233084863,0.0020995858615043823,0.009174311926605505,4.6913478822291435,59.797119140625,68.88822174072266
1.2553797373109892,94,-49.82524871826172,-0.5300558374283162,1.4887880086898804,-3.3378546504536644e-06,-8.619207382202148,51.71285629272461,0.5501367690715384,1605.55810546875,48058.9609375,1605.55810546875,142031.328125,-76858.2890625,64018.75390625,681.0505734707447,49.82524871826172,0.5300558374283162,0.001810652027352403,0.010638297872340425,4.543294782270004,49.82524871826172,51.71285629272461
-0.4264877082731388,56,-8.073108673095703,-0.14416265487670898,0.17321105301380157,-2.264974000354414e-06,-2.598170757293701,14.317485809326172,0.2556693894522531,244.1474609375,1908.16943359375,244.1474609375,21139.76953125,-43280.87890625,24481.205078125,437.1643763950893,8.073108673095703,0.14416265487670898,0.001078686314167389,0.017857142857142856,4.02535169073515,8.073108673095703,14.317485809326174
2.8443514940287007,115,-66.66728973388672,-0.5797155629033628,1.0801925659179688,-3.2186455882765586e-06,-7.260660648345947,82.39775848388672,0.7165022476859715,3289.75634765625,162501.34375,3289.75634765625,208236.96875,-60572.4609375,45340.9375,394.26902173913044,66.66728973388672,0.5797155629033628,0.002215159395165174,0.008695652173913044,4.74493212836325,66.66728973388672,82.39775848388672
